id,date,work_performed,primary_source
516,1820-09-05,254,Th OC-91
517,1820-09-06,139,Th OC-91
518,1820-09-06,53,Th OC-91
519,1820-09-07,212,Th OC-91
520,1820-09-07,182,Th OC-91
521,1820-09-08,327,Th OC-91
522,1820-09-08,254,Th OC-91
523,1820-09-09,12,Th OC-91
524,1820-09-09,357,Th OC-91
525,1820-09-09,151,Th OC-91
526,1820-09-10,150,Th OC-91
527,1820-09-10,254,Th OC-91
528,1820-09-11,72,Th OC-91
529,1820-09-11,26,Th OC-91
530,1820-09-11,357,Th OC-91
531,1820-09-12,212,Th OC-91
532,1820-09-12,251,Th OC-91
533,1820-09-13,357,Th OC-91
534,1820-09-13,325,Th OC-91
535,1820-09-14,53,Th OC-91
536,1820-09-14,224,Th OC-91
537,1820-09-15,157,Th OC-91
538,1820-09-15,357,Th OC-91
539,1820-09-15,151,Th OC-91
540,1820-09-16,160,Th OC-91
541,1820-09-16,388,Th OC-91
542,1820-09-17,333,Th OC-91
543,1820-09-17,143,Th OC-91
544,1820-09-18,150,Th OC-91
545,1820-09-18,227,Th OC-91
546,1820-09-19,58,Th OC-91
547,1820-09-19,357,Th OC-91
548,1820-09-20,388,Th OC-91
549,1820-09-20,315,Th OC-91
550,1820-09-21,282,Th OC-91
551,1820-09-21,357,Th OC-91
552,1820-09-22,135,Th OC-91
553,1820-09-22,349,Th OC-91
554,1820-09-22,383,Th OC-91
555,1820-09-23,2,Th OC-91
556,1820-09-23,226,Th OC-91
557,1820-09-24,58,Th OC-91
558,1820-09-24,254,Th OC-91
559,1820-09-25,184,Th OC-91
560,1820-09-25,282,Th OC-91
561,1820-09-26,72,Th OC-91
562,1820-09-26,212,Th OC-91
563,1820-09-27,289,Th OC-91
564,1820-09-27,2,Th OC-91
565,1820-09-28,104,Th OC-91
566,1820-09-28,73,Th OC-91
567,1820-09-28,349,Th OC-91
568,1820-09-29,2,Th OC-91
569,1820-09-29,251,Th OC-91
570,1820-09-30,212,Th OC-91
571,1820-09-30,322,Th OC-91
572,1820-10-01,357,Th OC-91
573,1820-10-01,325,Th OC-91
574,1820-10-02,200,Th OC-91
575,1820-10-02,388,Th OC-91
576,1820-10-03,212,Th OC-91
577,1820-10-03,315,Th OC-91
578,1820-10-04,26,Th OC-91
579,1820-10-04,135,Th OC-91
580,1820-10-04,251,Th OC-91
581,1820-10-05,2,Th OC-91
582,1820-10-05,377,Th OC-91
583,1820-10-06,357,Th OC-91
584,1820-10-06,271,Th OC-91
585,1820-10-07,212,Th OC-91
586,1820-10-07,36,Th OC-91
587,1820-10-08,254,TH OC-91
588,1820-10-08,377,TH OC-91
589,1820-10-08,136,TH OC-91
590,1820-10-09,357,Th OC-91
591,1820-10-09,271,Th OC-91
592,1820-10-10,18,Th OC-91
593,1820-10-10,255,Th OC-91
594,1820-10-10,251,Th OC-91
595,1820-10-11,58,Th OC-91
596,1820-10-11,151,Th OC-91
597,1820-10-12,72,Th OC-91
598,1820-10-12,212,Th OC-91
599,1820-10-13,135,Th OC-91
600,1820-10-13,357,Th OC-91
601,1820-10-13,254,Th OC-91
602,1820-10-14,160,Th OC-91
603,1820-10-14,388,Th OC-91
604,1820-10-15,334,Th OC-91
605,1820-10-15,271,Th OC-91
606,1820-10-17,212,Th OC-91
607,1820-10-17,239,Th OC-91
608,1820-10-18,182,Th OC-91
609,1820-10-18,386,Th OC-91
610,1820-10-18,315,Th OC-91
611,1820-10-19,139,Th OC-91
612,1820-10-19,2,Th OC-91
613,1820-10-20,200,Th OC-91
614,1820-10-20,386,Th OC-91
615,1820-10-20,375,Th OC-91
616,1820-10-21,182,Th OC-91
617,1820-10-21,95,Th OC-91
618,1820-10-22,336,Th OC-91
619,1820-10-22,143,Th OC-91
620,1820-10-23,386,Th OC-91
621,1820-10-23,254,Th OC-91
622,1820-10-23,151,Th OC-91
623,1820-10-24,212,Th OC-91
624,1820-10-24,136,Th OC-91
625,1820-10-25,135,Th OC-91
626,1820-10-25,386,Th OC-91
627,1820-10-25,357,Th OC-91
628,1820-10-26,72,Th OC-91
629,1820-10-26,212,Th OC-91
630,1820-10-27,36,Th OC-91
631,1820-10-27,271,Th OC-91
632,1820-10-28,104,Th OC-91
633,1820-10-28,73,Th OC-91
634,1820-10-28,357,Th OC-91
635,1820-10-29,254,Th OC-91
636,1820-10-29,388,Th OC-91
637,1820-10-30,239,Th OC-91
638,1820-10-30,386,Th OC-91
639,1820-10-30,315,Th OC-91
640,1820-10-31,294,Th OC-91
641,1820-10-31,325,Th OC-91
642,1820-11-02,95,Th OC-91
643,1820-11-02,255,Th OC-91
644,1820-11-03,2,Th OC-91
645,1820-11-03,386,Th OC-91
646,1820-11-04,212,Th OC-91
647,1820-11-04,362,Th OC-91
648,1820-11-05,294,Th OC-91
649,1820-11-05,386,Th OC-91
650,1820-11-05,251,Th OC-91
651,1820-11-06,150,Th OC-91
652,1820-11-06,2,Th OC-91
653,1820-11-07,327,Th OC-91
654,1820-11-07,143,Th OC-91
655,1820-11-08,212,Th OC-91
656,1820-11-08,289,Th OC-91
657,1820-11-09,216,Th OC-91
658,1820-11-09,331,Th OC-91
659,1820-11-10,255,Th OC-91
660,1820-11-10,388,Th OC-91
661,1820-11-11,386,Th OC-91
662,1820-11-11,357,Th OC-91
663,1820-11-11,254,Th OC-91
664,1820-11-12,216,Th OC-91
665,1820-11-12,300,Th OC-91
666,1820-11-13,135,Th OC-91
667,1820-11-13,289,Th OC-91
668,1820-11-13,2,Th OC-91
669,1820-11-14,212,Th OC-91
670,1820-11-14,239,Th OC-91
671,1820-11-15,72,Th OC-91
672,1820-11-15,271,Th OC-91
673,1820-11-16,18,Th OC-91
674,1820-11-16,120,Th OC-91
675,1820-11-16,380,Th OC-91
676,1820-11-17,2,Th OC-91
677,1820-11-17,386,Th OC-91
678,1820-11-18,95,Th OC-91
679,1820-11-18,160,Th OC-91
680,1820-11-19,135,Th OC-91
681,1820-11-19,289,Th OC-91
682,1820-11-19,2,Th OC-91
683,1820-11-20,294,Th OC-91
684,1820-11-20,362,Th OC-91
685,1820-11-20,315,Th OC-91
686,1820-11-21,386,Th OC-91
687,1820-11-21,374,Th OC-91
688,1820-11-21,136,Th OC-91
689,1820-11-22,212,Th OC-91
690,1820-11-22,254,Th OC-91
691,1820-11-23,200,Th OC-91
692,1820-11-23,331,Th OC-91
693,1820-11-23,377,Th OC-91
694,1820-11-24,157,Th OC-91
695,1820-11-24,255,Th OC-91
696,1820-11-24,380,Th OC-91
697,1820-11-25,368,Th OC-91
698,1820-11-25,322,Th OC-91
699,1820-11-26,374,Th OC-91
700,1820-11-26,258,Th OC-91
701,1820-11-26,315,Th OC-91
702,1820-11-27,294,Th OC-91
703,1820-11-27,386,Th OC-91
704,1820-11-27,357,Th OC-91
705,1820-11-28,163,Th OC-91
706,1820-11-28,2,Th OC-91
707,1820-11-29,216,Th OC-91
708,1820-11-29,241,Th OC-91
709,1820-11-30,163,Th OC-91
710,1820-11-30,73,Th OC-91
711,1820-11-30,378,Th OC-91
712,1820-12-01,212,Th OC-91
713,1820-12-01,120,Th OC-91
714,1820-12-02,290,Th OC-91
715,1820-12-02,374,Th OC-91
716,1820-12-03,336,Th OC-91
717,1820-12-03,143,Th OC-91
718,1820-12-04,327,Th OC-91
719,1820-12-04,289,Th OC-91
720,1820-12-04,12,Th OC-91
721,1820-12-05,135,Th OC-91
722,1820-12-05,2,Th OC-91
723,1820-12-06,139,Th OC-91
724,1820-12-06,53,Th OC-91
725,1820-12-07,104,Th OC-91
726,1820-12-07,380,Th OC-91
727,1820-12-08,216,Th OC-91
728,1820-12-08,333,Th OC-91
729,1820-12-09,224,Th OC-91
730,1820-12-09,362,Th OC-91
731,1820-12-10,2,Th OC-91
732,1820-12-10,378,Th OC-91
733,1820-12-10,136,Th OC-91
734,1820-12-11,363,Th OC-91
735,1820-12-11,388,Th OC-91
736,1820-12-12,200,Th OC-91
737,1820-12-12,26,Th OC-91
738,1820-12-12,73,Th OC-91
739,1820-12-13,72,Th OC-91
740,1820-12-13,12,Th OC-91
741,1820-12-13,254,Th OC-91
742,1820-12-14,219,Th OC-91
