id,surname,given_names,wikidata_id
501,Propiac,Catherine Joseph Ferdinand Girard de,
502,Prot,Félix Jean,
503,Prudent,,
504,Prévost,Eugène Prosper,
505,Puget,Loïsa,
506,Pujoulx,Jean-Baptiste,
507,Pélissier-Laqueyrie,Jean-Baptiste,
508,Quétant,François Antoine,
509,Racine,Jean,
510,Radet,Jean-Baptiste,
511,Ragué,Louis Charles,
512,Rancé,E. de,
513,Reber,Napoléon Henri,
514,Reicha,Anton,
515,Renaud,,
516,Renout,Jean Julien Constantin,
517,Resnier,Louis Pierre Pantaléon,
518,Riboutté,François Louis,
519,Riccoboni,Antoine François,
520,Riccoboni,Marie Jeanne,
521,Rifaut,Louis Victor Étienne,
522,Rigade,André Jean,
523,Rigel,Henri Jean,
524,Rigel,Henri Joseph,
525,Riggieri,Antonio,
526,Rochefort,"Claude Louis Marie de Rochefort-Luçay, dit Edmond",
527,Rodolphe,Jean Joseph,
528,Roger,Jean-François,
529,Romagnesi,"Antoine Joseph Michel, dit",
530,Romberg,Andreas,
531,Romberg,Bernhard Heinrich,
532,Rosier,Joseph Bernard,
533,Rouget de Lisle,Claude Joseph,
534,Rousseau,,
535,Rousseau,Auguste,
536,Rousselot,Scipion,
537,Ruolz,Henri de,
538,Russo,Raphaël,
539,Rutledge,James,
540,Révéroni Saint-Cyr,Jacques Antoine de,
541,Sacchini,Antonio,
542,Saint-Amans,Louis Joseph Claude,
543,Saint-Chamant,,
544,Saint-Félix,,
545,Saint-Georges,"Joseph Bologne, chevalier de",
546,Saintine,Joseph Xavier Boniface,
547,Salvert,,
548,Sapey,Louis Charles,
549,Sauvage,Thomas,
550,Sbignelli,,
551,Schobert,Johann,
552,Scribe,Eugène Augustin,
553,Sedaine,Michel Jean,
554,Sellitto,Giuseppe,
555,Serrière,,
556,Sewrin,"Charles Augustin de Bassompierre, dit",
557,Simonnin,Antoine Jean-Baptiste,
558,Siraudin,Paul,
559,Sodi,Charles,
560,Sodi,Pierre,
561,Solié,Jean-Pierre,
562,Soulié,Frédéric,
563,Souriguière de Saint-Marc,Jean-Marie,
564,Spontini,Gaspare Luigi Pacifico,
565,Steibelt,Daniel Gottlieb,
